job,se16,occR
3,单位工作,1
3,单位职工,1
6,党办主任,1
6,法官,1
3,干部,1
6,干部,1
3,干部,1
6,工厂工人,1
1,工厂工人,1
1,工人,1
5,工人,1
6,工人,1
3,工人,1
9,工人,1
3,工人,1
3,工人,1
6,工人,1
6,工人,1
3,工人,1
3,工人,1
6,工人,1
9,工人,1
3,工人,1
3,工人,1
6,工人,1
4,工人,1
6,工人,1
3,工人,1
6,工人,1
6,工人,1
6,工人,1
3,工人,1
1,工人,1
3,工人,1
3,工人,1
9,工人,1
99,工人,1
2,工人,1
8,工商局,1
3,公务员,1
6,公务员,1
3,公务员,1
3,公务员,1
3,公务员,1
0,公务员,1
3,公务员,1
3,公务员,1
3,公务员,1
3,公务员,1
4,公务员,1
3,国企,1
6,国企工作,1
5,国企上班,1
6,国企业干部,1
1,国企职工,1
3,淮管办水利局,1
3,会计,1
3,会计,1
3,会计,1
6,会计,1
3,会计,1
4,会计,1
3,会计,1
3,技术工人,1
4,技术工人,1
0,检查员,1
6,建材行业高管,1
6,交通局退休,1
3,教师,1
3,教师,1
3,教师,1
3,教师,1
3,教师,1
3,教师,1
1,教师,1
3,教师,1
3,教师,1
8,教师,1
3,教师,1
3,教师,1
6,教师,1
3,教师,1
6,教师,1
6,教师,1
6,教师,1
96,教师,1
6,教师,1
6,教师,1
3,教师,1
6,教师,1
3,教书,1
99,教学,1
3,老师,1
6,老师,1
4,老师,1
3,老师,1
3,老师,1
1,老师,1
96,离休,1
6,力工,1
6,粮食加工厂,1
3,林业,1
6,林业管理局工人,1
6,林业局工人,1
3,林业局事业人员,1
3,领导,1
9,农具厂下岗,1
3,农业服务中心工作人员,1
3,派出所,1
3,派出所,1
2,全职,1
3,全职,1
3,全职,1
3,全职,1
3,全职,1
3,全职,1
3,全职工作,1
3,人力资源管理,1
3,上班,1
3,社保局国家公务员,1
6,生产队干部,1
8,石油企业,1
3,事业单位,1
3,铁路,1
3,铁路职工,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
0,退休,1
3,退休,1
1,退休,1
3,退休,1
3,退休,1
3,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
9,退休,1
6,退休,1
4,退休,1
0,退休,1
6,退休,1
3,退休,1
6,退休,1
6,退休,1
0,退休,1
6,退休,1
99,退休,1
6,退休,1
3,退休,1
6,退休,1
6,退休,1
6,退休,1
96,退休,1
0,退休,1
6,退休,1
6,退休,1
6,退休,1
1,退休,1
5,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
6,退休,1
0,退休,1
6,退休,1
0,退休,1
6,退休,1
6,退休,1
6,退休（原中国人民银行职员）,1
6,"退休,做义工",1
6,退休工人,1
6,退休工人,1
0,退休工人,1
6,退休工人,1
6,退休机关干部,1
6,退休教师,1
3,外科医生,1
3,文员,1
3,文员,1
9,下岗,1
9,下岗,1
0,下岗,1
4,下岗,1
9,下岗,1
9,下岗,1
9,下岗,1
6,现退休,1
3,行政,1
3,学校老师,1
3,医生,1
3,医生,1
2,医生,1
3,医生,1
1,医生,1
6,医生,1
3,医生,1
6,医生,1
0,医生,1
3,医生,1
6,医师,1
3,医院,1
0,医院,1
3,征费员,1
6,职工,1
1,职工,1
3,职员,1
3,职员科员,1
96,中学教师,1
0,准退休,1
6,资料员,1
1,2,0
8,7,0
8,7,0
3,7,0
6,7,0
8,7,0
8,7,0
8,97,0
3,922,0
8,922,0
0,922,0
8,922,0
4,922,0
8,922,0
0,922,0
6,922,0
4,922,0
0,922,0
0,922,0
8,922,0
3,922,0
8,922,0
3,999,0
8,3973,0
1,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
7,9997,0
8,9997,0
0,9997,0
3,9997,0
0,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
0,9997,0
3,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
0,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
96,9997,0
3,9997,0
8,9997,0
8,9997,0
0,9997,0
4,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
99,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
0,9997,0
0,9997,0
1,9997,0
0,9997,0
0,9997,0
7,9997,0
0,9997,0
0,9997,0
3,9997,0
4,9997,0
8,9997,0
0,9997,0
8,9997,0
0,9997,0
0,9997,0
0,9997,0
4,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
1,9997,0
8,9997,0
0,9997,0
1,9997,0
99,9997,0
8,9997,0
0,9997,0
1,9997,0
8,9997,0
7,9997,0
4,9997,0
1,9997,0
4,9997,0
8,9997,0
8,9997,0
3,9997,0
96,9997,0
8,9997,0
8,9997,0
2,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
0,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
4,9997,0
9,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
1,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
4,9997,0
2,9997,0
8,9997,0
8,9997,0
7,9997,0
0,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
7,9997,0
8,9997,0
7,9997,0
2,9997,0
1,9997,0
96,9997,0
5,9997,0
1,9997,0
7,9997,0
6,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
7,9997,0
7,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
6,9997,0
1,9997,0
8,9997,0
8,9997,0
7,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
3,9997,0
0,9997,0
8,9997,0
7,9997,0
1,9997,0
4,9997,0
8,9997,0
3,9997,0
3,9997,0
3,9997,0
7,9997,0
7,9997,0
0,9997,0
0,9997,0
4,9997,0
8,9997,0
96,9997,0
1,9997,0
8,9997,0
1,9997,0
3,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
3,9997,0
4,9997,0
8,9997,0
1,9997,0
4,9997,0
6,9997,0
8,9997,0
8,9997,0
0,9997,0
3,9997,0
8,9997,0
4,9997,0
0,9997,0
3,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
3,9997,0
8,9997,0
0,9997,0
7,9997,0
6,9997,0
8,9997,0
7,9997,0
4,9997,0
8,9997,0
4,9997,0
7,9997,0
0,9997,0
8,9997,0
1,9997,0
8,9997,0
1,9997,0
8,9997,0
3,9997,0
6,9997,0
3,9997,0
9,9997,0
8,9997,0
4,9997,0
8,9997,0
1,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
99,9997,0
1,9997,0
0,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
7,9997,0
1,9997,0
8,9997,0
0,9997,0
5,9997,0
7,9997,0
1,9997,0
4,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
1,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
0,9997,0
6,9997,0
7,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
1,9997,0
2,9997,0
1,9997,0
8,9997,0
8,9997,0
3,9997,0
4,9997,0
3,9997,0
3,9997,0
8,9997,0
1,9997,0
1,9997,0
0,9997,0
1,9997,0
1,9997,0
3,9997,0
8,9997,0
8,9997,0
3,9997,0
1,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
1,9997,0
1,9997,0
3,9997,0
0,9997,0
1,9997,0
3,9997,0
3,9997,0
4,9997,0
8,9997,0
96,9997,0
4,9997,0
1,9997,0
8,9997,0
3,9997,0
0,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
3,9997,0
0,9997,0
0,9997,0
7,9997,0
8,9997,0
1,9997,0
3,9997,0
4,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
3,9997,0
8,9997,0
3,9997,0
1,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
1,9997,0
1,9997,0
8,9997,0
8,9997,0
1,9997,0
96,9997,0
99,9997,0
7,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
7,9997,0
8,9997,0
6,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
96,9997,0
3,9997,0
8,9997,0
5,9997,0
1,9997,0
7,9997,0
0,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
6,9997,0
0,9997,0
3,9997,0
8,9997,0
8,9997,0
0,9997,0
1,9997,0
0,9997,0
6,9997,0
9,9997,0
8,9997,0
8,9997,0
1,9997,0
0,9997,0
8,9997,0
1,9997,0
3,9997,0
0,9997,0
3,9997,0
3,9997,0
1,9997,0
3,9997,0
4,9997,0
0,9997,0
0,9997,0
0,9997,0
8,9997,0
3,9997,0
4,9997,0
8,9997,0
3,9997,0
1,9997,0
3,9997,0
4,9997,0
1,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
0,9997,0
3,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
1,9997,0
3,9997,0
8,9997,0
8,9997,0
0,9997,0
3,9997,0
8,9997,0
99,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
4,9997,0
1,9997,0
0,9997,0
3,9997,0
8,9997,0
8,9997,0
4,9997,0
6,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
0,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
6,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
0,9997,0
1,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
3,9997,0
2,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
6,9997,0
4,9997,0
0,9997,0
0,9997,0
7,9997,0
8,9997,0
1,9997,0
7,9997,0
7,9997,0
0,9997,0
0,9997,0
8,9997,0
7,9997,0
0,9997,0
7,9997,0
8,9997,0
8,9997,0
7,9997,0
3,9997,0
7,9997,0
7,9997,0
1,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
6,9997,0
8,9997,0
0,9997,0
6,9997,0
0,9997,0
8,9997,0
8,9997,0
0,9997,0
0,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
4,9997,0
3,9997,0
7,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
7,9997,0
7,9997,0
8,9997,0
8,9997,0
96,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
4,9997,0
8,9997,0
4,9997,0
1,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
99,9997,0
8,9997,0
8,9997,0
99,9997,0
8,9997,0
6,9997,0
0,9997,0
0,9997,0
8,9997,0
8,9997,0
3,9997,0
1,9997,0
7,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
96,9997,0
7,9997,0
4,9997,0
4,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
6,9997,0
8,9997,0
6,9997,0
8,9997,0
8,9997,0
6,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
3,9997,0
2,9997,0
8,9997,0
4,9997,0
0,9997,0
8,9997,0
8,9997,0
1,9997,0
0,9997,0
96,9997,0
7,9997,0
1,9997,0
8,9997,0
0,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
99,9997,0
1,9997,0
8,9997,0
96,9997,0
4,9997,0
7,9997,0
1,9997,0
3,9997,0
3,9997,0
8,9997,0
0,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
6,9997,0
0,9997,0
6,9997,0
3,9997,0
1,9997,0
9,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
96,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
6,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
0,9997,0
0,9997,0
8,9997,0
8,9997,0
4,9997,0
6,9997,0
1,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
7,9997,0
96,9997,0
0,9997,0
1,9997,0
0,9997,0
0,9997,0
6,9997,0
8,9997,0
8,9997,0
1,9997,0
1,9997,0
3,9997,0
3,9997,0
1,9997,0
3,9997,0
1,9997,0
1,9997,0
8,9997,0
8,9997,0
1,9997,0
4,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
6,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
6,9997,0
1,9997,0
1,9997,0
8,9997,0
4,9997,0
1,9997,0
4,9997,0
6,9997,0
9,9997,0
6,9997,0
1,9997,0
6,9997,0
1,9997,0
1,9997,0
6,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
0,9997,0
6,9997,0
99,9997,0
8,9997,0
0,9997,0
4,9997,0
8,9997,0
3,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
8,9997,0
1,9997,0
8,9997,0
8,9997,0
4,9997,0
1,9997,0
1,9997,0
8,9997,0
6,9997,0
7,9997,0
0,9997,0
8,9997,0
0,9997,0
3,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
8,9997,0
8,9997,0
0,9997,0
96,9997,0
8,9997,0
7,9997,0
7,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
1,9997,0
3,9997,0
8,9997,0
8,9997,0
0,9997,0
4,9997,0
6,9997,0
6,9997,0
8,9997,0
8,9997,0
8,9997,0
99,9997,0
8,9997,0
8,9997,0
9,9997,0
0,9997,0
8,9997,0
8,9997,0
0,9997,0
1,9997,0
9,9997,0
9,9997,0
8,9997,0
0,9997,0
1,9997,0
4,9997,0
1,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
8,9997,0
1,9997,0
3,9997,0
7,9997,0
7,9997,0
8,9997,0
7,9997,0
8,9997,0
5,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
0,9997,0
96,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
3,9997,0
8,9997,0
7,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
1,9997,0
4,9997,0
9,9997,0
0,9997,0
8,9997,0
96,9997,0
4,9997,0
3,9997,0
8,9997,0
6,9997,0
8,9997,0
8,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
1,9997,0
3,9997,0
0,9997,0
6,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
8,9997,0
3,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
3,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
9,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
4,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
99,9997,0
3,9997,0
8,9997,0
8,9997,0
8,9997,0
6,9997,0
3,9997,0
8,9997,0
8,9997,0
4,9997,0
4,9997,0
8,9997,0
96,9997,0
1,9997,0
1,9997,0
0,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
6,9997,0
3,9997,0
4,9997,0
4,9997,0
4,9997,0
3,9997,0
3,9997,0
3,9997,0
6,9997,0
1,9997,0
8,9997,0
4,9997,0
4,9997,0
8,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
0,9997,0
99,9997,0
1,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
0,9997,0
0,9997,0
8,9997,0
1,9997,0
4,9997,0
4,9997,0
0,9997,0
0,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
6,9997,0
8,9997,0
8,9997,0
8,9997,0
8,9997,0
3,9997,0
3,9997,0
8,9997,0
1,9997,0
0,9997,0
6,9997,0
8,9997,0
7,9997,0
0,9997,0
9,9997,0
8,9997,0
1,9997,0
7,9997,0
3,9997,0
8,9997,0
3,9997,0
3,9997,0
4,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
4,9997,0
7,9997,0
4,9997,0
8,9997,0
8,9997,0
6,9997,0
6,9997,0
6,9997,0
6,9997,0
8,9997,0
3,9997,0
2,9997,0
8,9997,0
8,9997,0
1,9997,0
8,9997,0
4,9997,0
7,9997,0
8,9997,0
8,9997,0
7,9997,0
8,9997,0
8,9997,0
8,9997,0
0,9997,0
4,9997,0
6,9997,0
0,9997,0
4,9997,0
8,9997,0
1,9997,0
0,9997,0
0,9997,0
0,9997,0
4,9997,0
3,9997,0
1,9997,0
3,9997,0
3,9997,0
3,9997,0
3,9997,0
0,9997,0
8,9997,0
3,9997,0
8,9997,0
1,9997,0
99,9997,0
8,9997,0
7,9997,0
1,9997,0
4,9997,0
8,9997,0
3,9997,0
